Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
005-436-606-236-405,International hearing protector standardization,2002-10-25,2002,journal article,The Journal of the Acoustical Society of America,00014966; 15208524,Acoustical Society of America (ASA),United States,Torben Poulsen,"Hearing protectors shall fulfill some minimum requirements to their performance. As hearing protector manufacturers sell the products all over the world, the testing and certification of hearing protectors has become an international issue. The ISO working group WG17 under the headlines Acoustics, Noise, produce hearing protector standards to be used at an international level. The presentation will cover the ongoing work in WG17, including the revision of existing standards (ISO 4869‐1, ISO 4869‐3), upcoming new standards (ISO 4869‐7) and the plans and status for future standards (performance in impulse noise, protectors with active noise reduction). Furthermore, an overview of the present European standards (CEN) and the relation to American and Australian/New Zealand standards will be discussed.",112,5,2293,2293,Engineering; Noise; Work (electrical); Standardization; International level; Certification; Telecommunications,,,,,https://orbit.dtu.dk/files/4438814/Poulsen.pdf https://asa.scitation.org/doi/10.1121/1.4779221 https://orbit.dtu.dk/en/publications/international-hearing-protector-standardization(b06e2fc5-4c8d-4052-a6ea-4f78efc5d173).html https://ui.adsabs.harvard.edu/abs/2002ASAJ..112.2293P/abstract https://core.ac.uk/download/13729823.pdf,http://dx.doi.org/10.1121/1.4779221,,10.1121/1.4779221,2011880779,,0,,1,true,,green
006-158-982-503-035,AI-Infused Quantum Machine Learning for Enhanced Supply Chain Forecasting,2024-06-30,2024,book chapter,"Advances in Logistics, Operations, and Management Science",2327350x; 23273518,IGI Global,,Leela Manush Gutta; Balaji Dhamodharan; Pushan Kumar Dutta; Pawan Whig,"<jats:p>In the rapidly evolving landscape of supply chain management, the fusion of artificial intelligence (AI) and quantum machine learning (QML) holds immense promise for optimizing forecasting processes. This chapter delves into the synergistic potential of AI and QML techniques, presenting a comprehensive framework for harnessing their combined power in supply chain forecasting. By leveraging AI's ability to analyze vast datasets and extract meaningful insights alongside QML's capacity to process complex probabilistic distributions, organizations can achieve unprecedented accuracy in demand forecasting, inventory optimization, and risk mitigation. Through case studies and practical applications, this chapter elucidates how AI-infused QML models can revolutionize supply chain forecasting, driving efficiency, resilience, and competitiveness in the global marketplace.</jats:p>",,,48,63,Chain (unit); Computer science; Supply chain; Quantum; Artificial intelligence; Physics; Business; Quantum mechanics; Marketing,,,,,,http://dx.doi.org/10.4018/979-8-3693-4107-0.ch003,,10.4018/979-8-3693-4107-0.ch003,,,0,021-698-262-431-134; 042-288-278-465-515; 045-421-520-978-159; 075-112-521-600-018; 147-556-119-417-212; 153-521-098-651-081; 188-851-151-889-26X,4,false,,
016-047-555-680-863,"Technical Design Report, Second Target Station",2015-01-01,2015,report,,,Office of Scientific and Technical Information (OSTI),,John D Galambos; David E. Anderson; D. Bechtol; Katie L. Bethea; N. Brown; W. F. Carden; Steven M. Chae; A. Clark; Deborah M. Counce; K. Craft; Mark Crofford; Richard M. Collins; Sarah Cousineau; Douglas E. Curry; Roy I. Cutler; Michael J. Dayton; Robert A. Dean; Craig Deibele; Marc Doleans; T. Dye; Bob H. Eason; James A. Eckroth; C. Fincrock; S. Fritts; Franz X. Gallmeier; Ken R. Gawne; Steven M. Hartman; Kenneth W. Herwig; S. Hess; Jeffrey A Holmes; Charlie M. Horak; M. Howell; Erik B. Iverson; Lorelei L. Jacobs; Larry C. Jones; B. Johnson; S. Johnson; Kay Kasemir; Sang-Ho Kim; Gregory J. Laughon; Wei Lu; Kelly L. Mahoney; John Mammosser; Thomas J McManamy; M. Michilini; Mark E. Middendorf; Ed O'Neal; B. Nemec; Roy Cecil Peters; Michael A Plum; G. Reagan; Igor Remec; Mark J. Rennich; Bernie Riemer; Robert B. Saethre; James Phillip Schubert; Andrei Shishlo; C. Craig Smith; William Herb Strong; Kathie M. Tallant; David Alan Tennant; Barbara M. Thibadeau; S. Trumble; Steven M. Trotter; Zhijun Wang; Steven B. Webb; D. Williams; Karen S. White; Jinkui Zhao,"The Second Target Station (STS) is a proposed upgrade for SNS. It includes a doubling of the accelerator power and an additional instrument hall. The new instrument hall will receive a 467 kW 10 Hz beam. The parameters and preliminary design aspects of the STS are presented for the accelerator, target systems, instrument hall, instruments and civil construction aspects.",,,,,Spallation; Engineering; Power (physics); Beam (structure); Neutron source; Particle accelerator; Upgrade; Technical design; Mechanical engineering,,,,,http://www.osti.gov/servlets/purl/1185891,http://dx.doi.org/10.2172/1185891,,10.2172/1185891,2301926540,,0,,12,true,,green
018-492-529-708-832,Impact of Industry 4.0 on Inventory Systems and Optimization,2020-03-18,2020,book chapter,Industry 4.0 - Impact on Intelligent Logistics and Manufacturing,,IntechOpen,,Xue-Ming Yuan,"With evolution of Industry 4.0, how should we operate our production lines and factories, how should we manage and optimize inventory, how should we deploy our workers, how should we run our businesses, how should we manage our supply chains? This chapter aims to highlight the impact of Industry 4.0 on manufacturing systems and services, as well as supply chains, in particular, on inventory systems and optimization. An integrative R&D framework for inventory systems modeling and optimization is proposed, which directs our R&D effort in modeling and optimizing inventory systems with Industry 4.0.",,,,,Manufacturing engineering; Industry 4.0; Computer science,Industry 4.0; cyber-physical systems; Internet of Things; Internet of Services; inventory systems; inventory optimization,,,,https://www.intechopen.com/citation-pdf-url/70417 https://www.intechopen.com/chapters/70417 https://core.ac.uk/download/322580491.pdf,http://dx.doi.org/10.5772/intechopen.90077,,10.5772/intechopen.90077,3011806897,,0,010-251-005-399-540; 011-878-922-944-695; 026-362-782-046-005; 027-336-031-504-156; 045-758-260-742-783; 050-438-157-724-294; 052-665-661-419-718; 052-774-150-404-912; 053-585-441-977-028; 054-116-389-408-251; 065-390-615-035-037; 078-516-695-229-001; 095-288-459-215-251; 100-104-605-912-021; 109-422-499-831-447; 124-336-278-660-210; 130-109-783-341-840; 165-660-673-025-470; 196-955-601-284-732,15,true,cc-by,hybrid
025-373-851-203-287,demand_forecasting_simulator.py — Probabilistic Demand Forecasting with Damped Trend,2025-12-23,2025,other,Zenodo (CERN European Organization for Nuclear Research),,,,Britt B,"demand_forecasting_simulator.py v1.0 — Probabilistic Demand Forecasting with Damped Trend Features • Zero extra setup core — single file (numpy + scipy + matplotlib for visualization) • Realistic synthetic demand: trend + annual/weekly seasonality + noise + shocks • Bayesian ensemble via bootstrapped residuals and Monte Carlo sampling • Damped linear trend to prevent unrealistic long-horizon explosion • Point forecast + 80%/95% prediction intervals (fan chart) • Detailed near-term table + total horizon summary with uncertainty width • Professional visualization directly usable in planning reports Dependencies • Requires numpy>=1.21 • Requires scipy>=1.8 • Requires matplotlib>=3.5 — only for --plot Intended for demand planners, inventory optimizers, and quantum ML researchers establishing classical probabilistic forecasting baselines for safety stock and capacity planning. Real usage: python demand_forecasting_simulator.py python demand_forecasting_simulator.py --horizon 180 --samples 3000 --plot python demand_forecasting_simulator.py --periods 1095 --no-damping --plot Made by Britt (2025) — MIT License",,,,,Probabilistic logic; Python (programming language); Computer science; Bayesian probability; Monte Carlo method; Econometrics; Markov chain Monte Carlo; Probabilistic forecasting; USable; Stock (firearms); Point estimation; Probability distribution; MIT License; Time horizon; Time series; Data mining; Visualization; Ensemble forecasting; Importance sampling; Gibbs sampling; Demand forecasting; Operations research; Bayesian inference; Sampling (signal processing),,,,,https://zenodo.org/doi/10.5281/zenodo.18030053,http://dx.doi.org/10.5281/zenodo.18030053,,10.5281/zenodo.18030053,,,0,,0,true,,green
028-304-623-016-500,Real-Time Data Processing for Inventory Optimization in Distributed Cloud Systems,2025-10-06,2025,journal article,Journal of Quantum Science and Technology,30486351,Resagate Global,,Prof. (Dr) Sangeet Vashishtha,"<jats:p>This study investigates the role of real-time data processing in optimizing inventory management within distributed cloud systems. As businesses increasingly adopt cloud technologies, the need for efficient inventory management solutions becomes paramount. This research highlights the challenges faced by organizations in maintaining optimal inventory levels while leveraging real-time data for decision-making. Through an analysis of existing literature and statistical methods, we present a framework for implementing real-time data processing techniques that enhance inventory optimization. The findings suggest that integrating real-time data analytics significantly improves inventory turnover rates, reduces stockouts, and enhances overall operational efficiency. This paper contributes to the growing body of knowledge on inventory management in cloud environments and provides practical recommendations for organizations seeking to optimize their inventory practices.</jats:p>",2,4,,,,,,,,https://jqst.org/index.php/j/article/download/357/402 https://doi.org/10.63345/jqst.v2i4.357,http://dx.doi.org/10.63345/jqst.v2i4.357,,10.63345/jqst.v2i4.357,,,0,,0,true,cc-by-nc,hybrid
032-148-962-995-275,Data Engineering for Sustainable AI and Predictive Analytics in Retail Inventory,2025-09-10,2025,journal article,Journal of Quantum Science and Technology,30486351,Resagate Global,,Manish Kumar,"<jats:p>The retail sector is rapidly evolving, driven by the necessity for efficient inventory management and the integration of artificial intelligence (AI) for predictive analytics. This paper explores the role of data engineering in facilitating sustainable AI practices and enhancing predictive analytics capabilities within retail inventory systems. By examining existing literature, conducting statistical analyses, and proposing a comprehensive methodology, this study aims to identify best practices and innovative solutions for inventory optimization. Results indicate significant improvements in forecasting accuracy and operational efficiency, with implications for sustainability in retail operations.</jats:p>",2,3,,,,,,,,https://jqst.org/index.php/j/article/download/367/420 https://doi.org/10.63345/jqst.v2i3.367,http://dx.doi.org/10.63345/jqst.v2i3.367,,10.63345/jqst.v2i3.367,,,0,,0,true,cc-by-nc,hybrid
036-088-761-439-241,logistics_roi_calculator.py — Quantum vs Classical Supply Chain ROI Calculator,2025-12-23,2025,other,Zenodo (CERN European Organization for Nuclear Research),,,,Britt B,"logistics_roi_calculator.py v1.0 — Quantum vs Classical Supply Chain ROI Calculator Features • Zero extra setup core — single file (numpy + matplotlib only for visualization) • Realistic ROI estimation across three key logistics domains: - Routing (TSP) with time-to-solution speedup and quantum access cost penalty - Inventory optimization (improved solution quality) - Warehouse packing (higher resource utilization) • Sensitivity analysis: conservative / base / aggressive scenarios • Optional maturity curve visualization (2025–2035) with logarithmic speedup growth • Professional terminal report suitable for executive presentations Dependencies • Requires numpy>=1.21 • Requires matplotlib>=3.5 — only for --plot option Intended for supply chain executives, operations researchers, and quantum strategy teams evaluating the business case for quantum optimization adoption. Real usage: python logistics_roi_calculator.py python logistics_roi_calculator.py --quantum-speedup 500 --scenario aggressive --plot python logistics_roi_calculator.py --inventory-improve 20 --quantum-cost-per-run 200 --plot Made by Britt (2025) — MIT License",,,,,Speedup; Python (programming language); Computer science; Calculator; Quantum computer; Supply chain; Quantum; Mathematical optimization; Visualization; Quantum algorithm; Algorithm; Supply chain management; Theoretical computer science; Minimum spanning tree,,,,,https://zenodo.org/doi/10.5281/zenodo.18029676,http://dx.doi.org/10.5281/zenodo.18029676,,10.5281/zenodo.18029676,,,0,,0,true,,green
036-227-337-648-973,Priority-based replenishment policy for robotic dispensing in central fill pharmacy systems: a simulation-based study.,2023-03-11,2023,journal article,Health care management science,15729389; 13869620,Springer Science and Business Media LLC,Netherlands,Nieqing Cao; Austin Marcus; Lubna Altarawneh; Soongeol Kwon,"In recent years, companies that operate pharmacy store chains have adopted centralized and automated fulfillment systems, which are called Central Fill Pharmacy Systems (CFPS). The Robotic Dispensing System (RDS) plays a crucial role by automatically storing, counting, and dispensing various medication pills to enable CFPS to fulfill high-volume prescriptions safely and efficiently. Although the RDS is highly automated by robots and software, medication pills in the RDS should still be replenished by operators in a timely manner to prevent the shortage of medication pills that causes huge delays in prescription fulfillment. Because the complex dynamics of the CFPS and manned operations are closely associated with the RDS replenishment process, there is a need for systematic approaches to developing a proper replenishment control policy. This study proposes an improved priority-based replenishment policy, which is able to generate a real-time replenishment sequence for the RDS. In particular, the policy is based on a novel criticality function calculating the refilling urgency for a canister and corresponding dispenser, which takes the inventory level and consumption rates of medication pills into account. A 3D discrete-event simulation is developed to emulate the RDS operations in the CFPS to evaluate the proposed policy based on various measurements numerically. The numerical experiment shows that the proposed priority-based replenishment policy can be easily implemented to enhance the RDS replenishment process by preventing over 90% of machine inventory shortages and saving nearly 80% product fulfillment delays.",26,2,344,362,Economic shortage; Process (computing); Computer science; Discrete event simulation; Pharmacy; Medical prescription; Event (particle physics); Software; Operations research; Operations management; Simulation; Engineering; Medicine; Operating system; Linguistics; Pharmacology; Government (linguistics); Philosophy; Quantum mechanics; Physics; Family medicine,3D discrete-event simulation; Central fill pharmacy system; Medication replenishment; Prescription fulfillment; Priority-based policy; Robotic dispensing system,"Humans; Robotics; Robotic Surgical Procedures; Computer Simulation; Policy; Pharmacy; Pharmacy Service, Hospital",,,https://link.springer.com/content/pdf/10.1007/s10729-023-09630-x.pdf https://doi.org/10.1007/s10729-023-09630-x https://pmc.ncbi.nlm.nih.gov/articles/PMC10008078/pdf/10729_2023_Article_9630.pdf https://www.ncbi.nlm.nih.gov/pmc/articles/10008078,http://dx.doi.org/10.1007/s10729-023-09630-x,36906675,10.1007/s10729-023-09630-x,,PMC10008078,1,000-062-824-578-723; 003-967-921-707-721; 004-237-483-523-018; 012-867-916-124-538; 013-644-965-113-18X; 015-136-799-032-908; 022-516-753-310-202; 036-694-084-330-846; 046-925-578-713-319; 051-587-348-391-977; 065-180-725-670-060; 079-702-842-457-14X; 114-759-522-671-571; 117-966-267-822-061,7,true,,bronze
045-349-449-202-169,Final Design Report Proton Power Upgrade Project,2020-07-01,2020,report,,,Office of Scientific and Technical Information (OSTI),,John D Galambos; David E. Anderson; Charlotte Barbier; Kursat B. Bekar; Douglas A. Bunch; James Bullman; Mark W. Buchanan; Gregory L. Capps; Mark Champion; Aaron E. Coleman; Richard M. Collins; Mark S. Connell; Sarah Cousineau; Mark Crofford; Douglas E. Curry; Robert A. Dean; B. DeGraff; Marc Doleans; Bob H. Eason; James A. Eckroth; Nicholas J. Evans; Franz X. Gallmeier; Mandy Greenwood; Melissa Harvey; Kenneth W. Herwig; Jeffrey A Holmes; M. Howell; Ahmad M. Ibrahim; Lorelei L. Jacobs; Larry C. Jones; Yoon W. Kang; Wylie S Keener; Sang-Ho Kim; Brian Kolar; William S. Kravitz; John S. Kristy; Paul Langan; Geoffrey A. Laughon; Wei Lu; Kelly L. Mahoney; John Mammosser; Thomas J McManamy; Mark E. Middendorf; John Moss; Greg S. Norman; Kevin Paul Norris; Ed O'Neal; Chip Piller; Michael A Plum; Klent Pope; Jeremy Price; Bernie Riemer; R Roseberry; Robert B. Saethre; James Phillip Schubert; Andrei Shishlo; C. Craig Smith; Dennis J. Solley; Jared Spradling; Gregory S. Stephens; Christopher Stone; Barbara M. Thibadeau; Steven M. Trotter; Zhijun Wang; Mark W. Wezensky; Austin Wheat; Karen S. White; D. Williams; Drew E. Winder; Ralph Afanador; Erica Ahlschwede;  Barnett; Craig Bradley; Amy Byrd; Craig Deibele; Jim Goodpasture; Erik B. Iverson; Glen Johns; Kevin Johns; Sung-Woo Lee; Karoly Magda; Samuel Mckenzie; Chris Pappas; Bryan Robertson; Luke Santee; Jeffrey Saunders; Zachary Sorrell; R. Steffey; Rod Thomas; Lisa Turvin; Matthew Williamson; Angela Woody; George Toby; Edward Daly,,,,,,Nuclear engineering; Physics; Power (physics); Proton (rocket family); Upgrade,,,,"USDOE Office of Science (SC), Basic Energy Sciences (BES) (SC-22); USDOE",http://dx.doi.org/10.2172/1784163,http://dx.doi.org/10.2172/1784163,,10.2172/1784163,3164536214,,0,,6,true,,green
